"","AgeCat","mean","sd","min","max"
"1","adult1",3528.72960300165,1624.79249586426,1451.9568016981,6073.04086763806
"2","adult2",11639.2062914319,3402.60020973692,7002.65769522009,16923.6821961829
"3","adulto",39246.9025818317,14348.5359989454,18477.8902704567,64579.3114718757
"4","adult4",162869.056842452,64466.6768535208,67645.9529180632,282939.985625784
